#NumPrueba TiempoEjecucion
100 0.000125451
500 0.000183586
1000 0.000403688
2000 0.000893361
3000 0.00140151
4000 0.000574864
5000 0.000718629
6000 0.000968285
7000 0.00105108
8000 0.001476
9000 0.00145112
10000 0.00167973
20000 0.00347802
30000 0.00552252
40000 0.00767996
50000 0.00950364
60000 0.0117072
70000 0.0134812
80000 0.016376
90000 0.0191314
100000 0.0199103
