#NumPrueba TiempoEjecucion
100 0.000211595
500 0.000420606
1000 0.000965273
2000 0.00202914
3000 0.00324025
4000 0.00177128
5000 0.00154613
6000 0.00190743
7000 0.00226237
8000 0.00259233
9000 0.00297906
10000 0.00344297
20000 0.0072457
30000 0.0113828
40000 0.0158256
50000 0.0203779
60000 0.0254981
70000 0.0293776
80000 0.0339844
90000 0.0386762
100000 0.0434217
